"HDI Rank","Country","1998","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2008-2018",""
"Share of graduates from STEM programmes in tertiary education who are male (%)
null
Dimension: Gender
Definition: Share of male graduates among all graduates of tertiary programmes in science, technology, engineering and mathematics.
Source: UNESCO (United Nations Educational, Scientific and Cultural Organization) Institute for Statistics (2019). Data Centre. http://data.uis.unesco.org. Accessed 11 April 2019."
"176"," Liberia","..","","42.5","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"18"," Liechtenstein","..","","..","","..","","37.8","","55.6","","59.3","","..","","..","","..","","..","","..","","..","","59.3","a"
"34"," Lithuania","..","","63.5","","63.5","","69.5","","69.4","","70.9","","71.6","","69.5","","69.2","","70.2","","..","","..","","70.2","a"
"21"," Luxembourg","..","","..","","..","","..","","..","","58.9","","68.6","","72.4","","78.2","","72.4","","..","","..","","72.4","a"
"162"," Madagascar","..","","..","","68.1","","69.1","","..","","..","","..","","68.6","","69.4","","71.9","","..","","..","","71.9","a"
"61"," Malaysia","..","","..","","..","","57.7","","57.9","","54.7","","..","","..","","61.4","","..","","..","","..","","61.4","a"
"28"," Malta","..","","78.5","","69.6","","67.1","","69.0","","..","","71.1","","72.9","","70.1","","71.9","","..","","..","","71.9","a"
"161"," Mauritania","..","","..","","..","","..","","..","","..","","..","","..","","..","","73.0","","71.1","","..","","71.1","a"
"76"," Mexico","..","","68.4","","66.5","","67.0","","67.6","","..","","68.1","","68.8","","68.7","","68.9","","..","","..","","68.9","a"
"107"," Moldova (Republic of)","..","","..","","..","","..","","..","","..","","..","","66.5","","67.8","","..","","..","","..","","67.8","a"
"92"," Mongolia","..","","50.5","","48.2","","56.7","","58.0","","..","","..","","..","","..","","63.9","","66.3","","..","","66.3","a"
"121"," Morocco","..","","..","","..","","61.4","","..","","..","","..","","..","","54.5","","54.8","","..","","..","","54.8","a"
"180"," Mozambique","..","","..","","86.8","","..","","..","","80.8","","..","","..","","78.6","","76.9","","73.3","","..","","73.3","a"
"145"," Myanmar","..","","..","","..","","..","","33.8","","35.1","","..","","..","","..","","..","","..","","..","","35.1","a"
"130"," Namibia","..","","..","","59.1","","..","","..","","..","","..","","53.7","","53.4","","58.1","","..","","..","","58.1","a"
"10"," Netherlands","..","","81.8","","79.0","","79.1","","..","","..","","75.4","","74.7","","..","","..","","..","","..","","74.7","a"
"14"," New Zealand","..","","..","","66.3","","..","","..","","..","","65.9","","65.8","","66.1","","64.9","","65.0","","..","","65.0","a"
"189"," Niger","..","","..","","..","","..","","..","","..","","..","","..","","82.3","","..","","70.9","","..","","70.9","a"
"82"," North Macedonia","..","","58.6","","52.2","","60.2","","62.4","","61.3","","61.4","","59.1","","54.9","","..","","..","","..","","54.9","a"
"1"," Norway","..","","72.5","","73.0","","68.3","","..","","68.7","","74.1","","74.5","","70.9","","71.6","","..","","..","","71.6","a"
"47"," Oman","..","","..","","..","","50.4","","..","","..","","..","","..","","52.4","","47.2","","..","","..","","47.2","a"
"119"," Palestine, State of","..","","55.3","","..","","56.3","","55.6","","55.0","","..","","..","","54.5","","53.4","","55.1","","..","","55.1","a"
"67"," Panama","..","","..","","55.5","","60.7","","43.8","","..","","..","","53.8","","51.0","","..","","..","","..","","51.0","a"
"82"," Peru","..","","..","","..","","..","","..","","..","","..","","..","","..","","67.1","","..","","..","","67.1","a"
"106"," Philippines","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","63.7","","..","","63.7","a"
"32"," Poland","..","","..","","..","","60.8","","61.2","","59.3","","58.1","","57.4","","56.4","","55.9","","..","","..","","55.9","a"
"40"," Portugal","..","","60.4","","57.5","","61.4","","60.4","","60.1","","59.1","","59.1","","61.0","","60.9","","..","","..","","60.9","a"
"41"," Qatar","..","","26.1","","..","","56.3","","74.9","","69.0","","..","","..","","..","","67.1","","58.1","","..","","58.1","a"
"52"," Romania","..","","64.9","","60.0","","59.3","","56.8","","..","","58.9","","58.6","","58.3","","58.8","","..","","..","","58.8","a"
"157"," Rwanda","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","67.8","","..","","67.8","a"
"111"," Samoa","63.6","","81.8","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"36"," Saudi Arabia","..","","..","","59.6","","62.0","","63.1","","60.6","","..","","..","","62.5","","61.0","","58.3","","..","","58.3","a"
"63"," Serbia","..","","..","","..","","57.7","","59.5","","61.4","","..","","..","","59.9","","58.9","","60.3","","..","","60.3","a"
"62"," Seychelles","..","","..","","..","","..","","73.3","","..","","..","","..","","71.4","","54.0","","61.1","","..","","61.1","a"
"181"," Sierra Leone","..","","41.0","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"9"," Singapore","..","","..","","..","","..","","..","","..","","..","","..","","..","","66.3","","..","","..","","66.3","a"
"36"," Slovakia","..","","67.7","","64.0","","63.9","","64.6","","64.1","","63.4","","62.8","","64.4","","..","","..","","..","","64.4","a"
"24"," Slovenia","..","","..","","74.0","","72.0","","71.9","","70.2","","68.6","","68.6","","66.7","","70.2","","..","","..","","70.2","a"
"113"," South Africa","..","","..","","..","","..","","..","","..","","..","","58.8","","58.7","","58.1","","..","","..","","58.1","a"
"25"," Spain","..","","68.2","","69.7","","68.9","","69.7","","69.1","","70.5","","70.9","","70.7","","70.3","","..","","..","","70.3","a"
"71"," Sri Lanka","..","","..","","..","","..","","..","","..","","..","","..","","60.5","","57.4","","59.7","","..","","59.7","a"
"168"," Sudan","..","","..","","..","","..","","..","","57.6","","..","","..","","52.8","","..","","..","","..","","52.8","a"
"8"," Sweden","..","","67.4","","65.9","","65.6","","67.0","","67.4","","67.6","","..","","66.2","","64.8","","..","","..","","64.8","a"
"2"," Switzerland","..","","85.3","","82.9","","79.3","","79.2","","..","","78.4","","78.1","","77.3","","77.9","","..","","..","","77.9","a"
"154"," Syrian Arab Republic","..","","..","","..","","..","","..","","..","","..","","..","","..","","50.5","","..","","..","","50.5","a"
"77"," Thailand","..","","..","","..","","..","","..","","..","","..","","..","","70.3","","69.9","","..","","..","","69.9","a"
"91"," Tunisia","..","","..","","..","","..","","..","","56.9","","..","","..","","46.7","","45.6","","41.9","","..","","41.9","a"
"59"," Turkey","..","","68.5","","70.9","","68.6","","66.8","","65.4","","..","","65.3","","..","","..","","..","","..","","65.3","a"
"159"," Uganda","..","","83.2","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"88"," Ukraine","..","","..","","..","","..","","..","","69.8","","..","","..","","70.3","","70.5","","72.6","","..","","72.6","a"
"35"," United Arab Emirates","..","","..","","..","","..","","58.6","","54.1","","..","","..","","58.5","","56.5","","..","","..","","56.5","a"
"15"," United Kingdom","..","","67.7","","69.1","","69.8","","69.7","","69.4","","62.7","","62.1","","62.0","","61.9","","..","","..","","61.9","a"
"15"," United States","..","","67.9","","68.5","","68.6","","69.1","","69.0","","68.4","","68.1","","66.6","","66.0","","..","","..","","66.0","a"
"57"," Uruguay","..","","..","","..","","55.7","","..","","..","","..","","..","","52.4","","55.4","","..","","..","","55.4","a"
"96"," Venezuela (Bolivarian Republic of)","..","","57.2","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"118"," Viet Nam","..","","..","","80.0","","76.5","","..","","74.8","","..","","..","","59.3","","63.5","","..","","..","","63.5","a"
"150"," Zimbabwe","..","","..","","..","","79.9","","73.3","","73.1","","..","","..","","71.2","","..","","..","","..","","71.2","a"
"170"," Afghanistan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"36"," Andorra","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"60"," Bahamas","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"114"," Bolivia (Plurinational State of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"134"," Bhutan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"94"," Botswana","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"188"," Central African Republic","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"85"," China","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"165"," Côte d'Ivoire","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"150"," Cameroon","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"138"," Congo","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"156"," Comoros","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"171"," Djibouti","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"98"," Dominica","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"98"," Fiji","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"135"," Micronesia (Federated States of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"115"," Gabon","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"174"," Guinea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"178"," Guinea-Bissau","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"144"," Equatorial Guinea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"169"," Haiti","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"120"," Iraq","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"22"," Israel","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"96"," Jamaica","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"19"," Japan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"132"," Kiribati","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
