"HDI Rank","Country","2003","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2012-2017",""
"Prison population (per 100,000 people)
SDG 16.3 Promote the rule of law at the national and international levels and ensure equal access to justice for all
Dimension: Human Security
Definition: Number of adult and juvenile prisoners–excluding non-criminal prisoners held for administrative purposes, unless otherwise noted, held in prisons, penal Institutions or correctional Institutions–expressed per 100,000 population.
Source: UNODC (United Nations Office on Drugs and Crime) (2019). UNODC Statistics and Data. https://dataunodc.un.org. Accessed 3 June 2019."
"65"," Iran (Islamic Republic of)","229","","191","","..","","331","","..","","292","","288","","..","","..","","283","","283","a"
"120"," Iraq","..","","..","","95","b","97","b","111","b","105","b","..","","145","b","..","","..","","145","a,b"
"3"," Ireland","80","","72","","93","","90","","92","","87","","81","","80","","78","","78","","78","a"
"22"," Israel","193","","243","","272","","251","","264","","238","","262","","..","","..","","232","","232","a"
"29"," Italy","95","","103","","116","","114","","112","","107","","92","","90","","94","","100","","100","a"
"96"," Jamaica","175","","176","","..","","158","","154","","144","","141","","134","","132","","133","","133","a"
"19"," Japan","58","","62","","57","","54","","52","","49","","47","","46","","44","","41","","41","a"
"102"," Jordan","..","","112","","117","","83","","97","","95","","115","","125","","..","","162","","162","a"
"50"," Kazakhstan","..","","336","","336","","297","","268","","244","","247","","237","","218","","187","","187","a"
"147"," Kenya","..","","139","","116","","120","","102","","119","","116","","115","","100","","103","","103","a"
"132"," Kiribati","..","","80","","88","","..","","99","","..","","109","","130","","113","","..","","113","a"
"22"," Korea (Republic of)","119","","97","","92","","91","","94","","97","","103","","108","","114","","108","","108","a"
"57"," Kuwait","171","","154","","139","","128","","..","","81","","85","","102","","135","","145","","145","a"
"122"," Kyrgyzstan","338","","310","","183","","..","","176","","176","","166","","173","","174","","175","","175","a"
"140"," Lao People's Democratic Republic","..","","..","","..","","..","","..","","..","","..","","123","","..","","..","","123","a"
"39"," Latvia","360","","340","","320","","314","","296","","252","","235","","221","","215","","193","","193","a"
"93"," Lebanon","172","","174","","117","","113","","103","","102","","114","","108","","106","","106","","106","a"
"164"," Lesotho","..","","139","","122","","..","","123","","..","","97","","..","","..","","..","","97","a"
"176"," Liberia","..","","..","","..","","39","","..","","43","","..","","47","","..","","47","","47","a"
"110"," Libya","..","","..","","215","","..","","51","","86","","100","","..","","..","","..","","100","a"
"18"," Liechtenstein","..","","373","","211","","196","","164","","185","","143","","142","","191","","192","","192","a"
"34"," Lithuania","236","","243","","293","","322","","320","","309","","292","","251","","234","","228","","228","a"
"21"," Luxembourg","..","","151","","134","","123","","125","","120","","113","","122","","126","","111","","111","a"
"162"," Madagascar","110","","111","","87","","85","","86","","86","","86","","85","","88","","82","","82","a"
"172"," Malawi","69","","74","","77","","..","","76","","..","","71","","69","","77","","79","","79","a"
"61"," Malaysia","..","","139","","137","","..","","125","","132","","159","","166","","166","","175","","175","a"
"104"," Maldives","..","","..","","228","","..","","257","","..","","294","","362","","441","","425","","425","a"
"184"," Mali","..","","..","","..","","37","","..","","30","","31","","..","","..","","..","","31","a"
"28"," Malta","69","","72","","140","","140","","139","","145","","137","","132","","130","","136","","136","a"
"117"," Marshall Islands","38","","..","","..","","78","","..","","68","","66","","..","","..","","..","","66","a"
"161"," Mauritania","40","","26","","47","","..","","42","","..","","44","","..","","45","","..","","45","a"
"66"," Mauritius","215","","208","","196","","216","","220","","212","","178","","165","","177","","202","","202","a"
"76"," Mexico","176","","192","","160","","179","","172","","178","","184","","176","","149","","141","","141","a"
"135"," Micronesia (Federated States of)","..","","..","","..","","92","","..","","103","","127","","..","","..","","..","","127","a"
"107"," Moldova (Republic of)","..","","213","","155","","159","","162","","168","","180","","192","","199","","185","","185","a"
".."," Monaco","85","","92","","32","","85","","87","","76","","60","","89","","80","","74","","74","a"
"92"," Mongolia","..","","353","","274","","290","","289","","281","","263","","184","","188","","126","","126","a"
"52"," Montenegro","121","","145","","233","","212","","212","","170","","179","","180","","179","","178","","178","a"
"121"," Morocco","183","","167","","200","","..","","212","","213","","218","","213","","223","","233","","233","a"
"180"," Mozambique","..","","85","","63","","65","","..","","59","","57","","57","","..","","61","","61","a"
"145"," Myanmar","..","","..","","..","","131","","..","","117","","..","","..","","151","","149","","149","a"
"130"," Namibia","..","","..","","196","","..","","..","","173","","..","","147","","298","","..","","298","a"
".."," Nauru","..","","30","","..","","..","","248","","..","","126","","..","","..","","..","","126","a"
"147"," Nepal","..","","..","","40","","..","","54","","..","","59","","..","","62","","64","","64","a"
"10"," Netherlands","100","","107","","86","","83","","80","","76","","71","","64","","62","","61","","61","a"
"14"," New Zealand","..","","180","","193","","192","","184","","191","","189","","198","","213","","222","","222","a"
"126"," Nicaragua","..","","103","","118","","..","","167","","..","","176","","..","","..","","..","","176","a"
"189"," Niger","..","","55","","32","","..","","39","","..","","..","","43","","..","","..","","43","a"
"158"," Nigeria","..","","28","","30","","30","","31","","32","","32","","..","","34","","40","","40","a"
"82"," North Macedonia","78","","103","","122","","121","","123","","..","","150","","165","","155","","146","","146","a"
"1"," Norway","62","","68","","73","","78","","81","","76","","80","","78","","73","","64","","64","a"
"47"," Oman","..","","..","","..","","..","","..","","35","","..","","..","","..","","..","","35","a"
"152"," Pakistan","..","","58","","44","","45","","42","","..","","43","","42","","44","","42","","42","a"
"55"," Palau","523","","487","","..","","447","","..","","492","","341","","338","","..","","395","","395","a"
"119"," Palestine, State of","125","","220","","308","","303","","345","","286","","315","","206","","170","","..","","170","a"
"67"," Panama","..","","368","","344","","356","","384","","377","","402","","424","","411","","394","","394","a"
"155"," Papua New Guinea","..","","64","","60","","..","","47","","..","","59","","61","","61","","..","","61","a"
"98"," Paraguay","..","","108","","100","","114","","128","","143","","166","","194","","198","","206","","206","a"
"82"," Peru","107","","120","","155","","165","","204","","221","","232","","246","","258","","278","","278","a"
"106"," Philippines","..","","..","","102","","106","","110","","112","","124","","137","","165","","..","","165","a"
"32"," Poland","206","","221","","215","","216","","223","","209","","207","","190","","189","","195","","195","a"
"40"," Portugal","132","","122","","111","","122","","131","","138","","136","","138","","134","","132","","132","a"
"41"," Qatar","83","","60","","..","","59","","..","","51","","..","","..","","..","","..","","51","a"
"52"," Romania","197","","171","","138","","151","","158","","167","","151","","143","","139","","119","","119","a"
"49"," Russian Federation","..","","573","","571","","527","","489","","472","","467","","449","","438","","418","","418","a"
"157"," Rwanda","..","","..","","537","","..","","516","","..","","472","","467","","..","","500","","500","a"
"73"," Saint Kitts and Nevis","412","","..","","548","","665","","696","","621","","622","","..","","401","","400","","400","a"
"89"," Saint Lucia","286","","307","","305","","..","","325","","..","","359","","..","","314","","294","","294","a"
"94"," Saint Vincent and the Grenadines","..","","335","","950","","1160","","421","","..","","377","","..","","419","","426","","426","a"
"111"," Samoa","..","","..","","..","","228","","..","","..","","250","","259","","..","","204","","204","a"
".."," San Marino","..","","..","","..","","..","","..","","..","","..","","6","","..","","9","","9","a"
"137"," Sao Tome and Principe","..","","100","","175","","..","","119","","..","","105","","91","","..","","123","","123","a"
"36"," Saudi Arabia","..","","..","","..","","174","","..","","157","","..","","..","","..","","207","","207","a"
"166"," Senegal","..","","226","","229","","..","","62","","..","","59","","..","","62","","59","","59","a"
"63"," Serbia","80","","88","","124","","123","","114","","112","","116","","114","","121","","123","","123","a"
"62"," Seychelles","200","","183","","473","","..","","681","","..","","820","","..","","..","","445","","445","a"
"181"," Sierra Leone","..","","31","","35","","..","","41","","47","","51","","48","","45","","60","","60","a"
"9"," Singapore","409","","322","","268","","254","","246","","249","","235","","228","","222","","205","","205","a"
"36"," Slovakia","164","","165","","186","","195","","200","","180","","184","","182","","184","","192","","192","a"
