"HDI Rank","Country","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"Gender Inequality Index (GII)
null
Dimension: Gender
Definition: A composite measure reflecting inequality in achievement between women and men in three dimensions: reproductive health, empowerment and the labour market. See Technical note 4 at http://hdr.undp.org/sites/default/files/hdr2019_technical_notes.pdf for details on how the Gender Inequality Index is calculated.
Source: HDRO calculations based on data from maternal mortality ratio, adolescent birth rate, share of seats in parliament, population with at least some secondary education and labour force participation rate."
"126"," Guatemala","0.585","a","0.596","","0.575","","0.539","","0.528","","0.520","","0.520","","0.502","","0.499","","0.492","","0.495","","0.492",""
"123"," Guyana","..","","0.544","","0.534","","0.523","","0.517","","0.514","","0.509","","0.506","","0.503","","0.500","","0.495","","0.492",""
"169"," Haiti","..","","..","","0.593","","..","","0.615","","0.621","","0.619","","0.617","","0.614","","0.765","","0.622","","0.620",""
"132"," Honduras","..","","0.550","","0.510","","0.520","","0.518","","0.513","","..","","0.480","","0.475","","0.473","","..","","0.479",""
"43"," Hungary","0.322","a","0.288","","0.260","","0.255","","0.262","","0.262","","0.263","","0.256","","0.261","","0.265","","0.270","","0.258",""
"6"," Iceland","0.184","a","0.148","","0.125","","0.099","","0.098","","0.093","","0.088","","0.083","","0.075","","0.064","","0.065","","0.057",""
"129"," India","0.696","a","..","","0.629","","0.600","","0.594","","0.589","","0.578","","0.563","","0.551","","0.538","","0.522","","0.501",""
"111"," Indonesia","0.580","a","0.561","","0.539","","0.486","","0.481","","0.475","","0.471","","0.472","","0.467","","0.464","","0.453","","0.451",""
"65"," Iran (Islamic Republic of)","0.661","a","0.596","","0.511","","0.529","","0.535","","0.532","","0.536","","0.539","","0.528","","0.484","","0.488","","0.492",""
"120"," Iraq","0.693","a","0.652","","..","","0.556","","0.556","","0.556","","0.553","","0.552","","0.549","","0.546","","0.544","","0.540",""
"3"," Ireland","0.203","a","0.198","","0.191","","0.170","","0.154","","0.148","","0.140","","0.135","","0.129","","0.109","","0.101","","0.093",""
"22"," Israel","0.244","a","0.197","","0.173","","0.149","","0.144","","0.140","","0.130","","0.127","","0.114","","0.110","","0.104","","0.100",""
"29"," Italy","0.198","a","0.178","","0.176","","0.125","","0.121","","0.116","","0.091","","0.087","","0.087","","0.084","","0.080","","0.069",""
"96"," Jamaica","0.479","a","0.470","","0.469","","0.455","","0.444","","0.440","","0.435","","0.427","","0.423","","0.412","","0.408","","0.405",""
"19"," Japan","0.156","a","0.135","","0.146","","0.121","","0.120","","0.129","","0.130","","0.127","","0.121","","0.108","","0.102","","0.099",""
"102"," Jordan","0.673","a","0.632","","0.560","","0.494","","0.497","","0.496","","0.494","","0.493","","0.493","","0.474","","0.471","","0.469",""
"50"," Kazakhstan","0.447","a","0.404","","0.360","","0.268","","0.257","","0.231","","0.221","","0.212","","0.212","","0.209","","0.204","","0.203",""
"147"," Kenya","0.706","a","0.695","","0.654","","0.614","","0.610","","0.606","","0.569","","0.564","","0.560","","0.557","","0.548","","0.545",""
"22"," Korea (Republic of)","0.277","a","0.191","","0.107","","0.098","","0.092","","0.083","","0.078","","0.072","","0.068","","0.063","","0.060","","0.058",""
"57"," Kuwait","0.577","a","0.576","","0.367","","0.215","","0.210","","0.220","","0.215","","0.310","","0.308","","0.286","","0.251","","0.245",""
"122"," Kyrgyzstan","0.512","a","0.476","","0.677","","0.365","","0.375","","0.377","","0.384","","0.384","","0.400","","0.396","","0.389","","0.381",""
"140"," Lao People's Democratic Republic","..","","0.580","","0.545","","0.510","","0.503","","0.495","","0.487","","0.480","","0.474","","0.466","","0.465","","0.463",""
"39"," Latvia","0.411","a","0.276","","0.217","","0.208","","0.205","","0.191","","0.188","","0.202","","0.199","","0.199","","0.208","","0.169",""
"93"," Lebanon","..","","..","","..","","0.412","","0.409","","0.407","","0.404","","0.405","","0.402","","0.399","","0.395","","0.362",""
"164"," Lesotho","0.577","a","0.589","","0.583","","0.565","","0.559","","0.552","","0.550","","0.547","","0.547","","0.541","","0.545","","0.546",""
"176"," Liberia","..","","0.690","","0.677","","0.660","","0.669","","0.663","","0.660","","0.657","","0.660","","0.658","","0.659","","0.651",""
