"HDI Rank","Country","2000","","2010","","2015","","2016",""
"Suicide rate, female (per 100,000 people)
SDG 3.4 By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being
Dimension: Human Security
Definition: Number of deaths from purposely self-inflicted injuries, expressed per 100,000 people in the reference population.
Source: WHO (World Health Organization) (2019). Global Health Observatory. www.who.int/gho/. Accessed 15 July 2019."
"121"," Morocco","9.5","","5.0","","3.7","","3.6",""
"180"," Mozambique","7.3","","4.9","","4.2","","4.1",""
"145"," Myanmar","10.7","","9.4","","9.6","","9.8",""
"130"," Namibia","5.9","","5.7","","5.1","","4.9",""
"147"," Nepal","15.5","","11.0","","8.5","","8.0",""
"10"," Netherlands","5.3","","4.8","","6.4","","6.4",""
"14"," New Zealand","4.5","","6.9","","6.2","","6.2",""
"126"," Nicaragua","8.0","","5.5","","5.1","","5.0",""
"189"," Niger","7.0","","7.2","","6.7","","6.7",""
"158"," Nigeria","20.6","","20.1","","17.6","","17.1",""
"82"," North Macedonia","4.1","","2.6","","3.0","","3.0",""
"1"," Norway","6.0","","6.5","","7.0","","6.5",""
"47"," Oman","1.6","","1.0","","1.0","","0.9",""
"152"," Pakistan","4.4","","3.5","","3.2","","3.1",""
"67"," Panama","1.6","","1.5","","1.4","","1.2",""
"155"," Papua New Guinea","5.0","","3.7","","3.8","","3.8",""
"98"," Paraguay","6.4","","6.0","","6.3","","6.2",""
"82"," Peru","3.3","","2.5","","2.7","","2.7",""
"106"," Philippines","1.8","","2.3","","2.3","","2.3",""
"32"," Poland","4.7","","3.7","","3.3","","3.4",""
"40"," Portugal","2.1","","4.2","","3.8","","3.8",""
"41"," Qatar","1.4","","1.1","","1.1","","1.1",""
"52"," Romania","3.8","","3.7","","2.5","","2.4",""
"49"," Russian Federation","13.7","","10.2","","7.9","","7.5",""
"157"," Rwanda","19.4","","7.2","","6.2","","6.0",""
"89"," Saint Lucia","2.4","","1.6","","2.1","","2.1",""
"94"," Saint Vincent and the Grenadines","0.9","","0.6","","1.1","","0.9",""
"111"," Samoa","4.6","","2.6","","2.2","","2.2",""
"137"," Sao Tome and Principe","1.7","","1.9","","2.1","","2.1",""
"36"," Saudi Arabia","1.4","","1.7","","1.7","","1.7",""
"166"," Senegal","6.8","","6.2","","5.4","","5.2",""
"63"," Serbia","9.1","","5.2","","5.2","","5.2",""
"62"," Seychelles","2.5","","2.2","","2.1","","2.1",""
"181"," Sierra Leone","16.6","","14.3","","13.9","","14.2",""
"9"," Singapore","8.1","","6.0","","5.2","","4.9",""
"36"," Slovakia","4.4","","3.1","","2.6","","2.6",""
"24"," Slovenia","13.2","","5.1","","5.8","","4.5",""
"153"," Solomon Islands","8.4","","4.2","","3.4","","3.2",""
".."," Somalia","5.6","","5.2","","5.4","","5.4",""
"113"," South Africa","7.1","","6.1","","5.3","","5.1",""
"186"," South Sudan","5.3","","4.5","","4.0","","4.1",""
"25"," Spain","3.0","","2.2","","3.0","","3.1",""
"71"," Sri Lanka","13.5","","8.4","","6.1","","6.2",""
"168"," Sudan","4.4","","4.6","","4.5","","4.6",""
"98"," Suriname","11.6","","13.3","","11.4","","10.9",""
"8"," Sweden","7.7","","6.8","","7.7","","7.4",""
"2"," Switzerland","9.4","","7.0","","6.9","","6.9",""
"154"," Syrian Arab Republic","0.8","","1.1","","1.1","","1.1",""
"125"," Tajikistan","2.2","","1.8","","1.8","","1.7",""
"159"," Tanzania (United Republic of)","6.4","","5.2","","5.3","","5.4",""
"77"," Thailand","8.3","","5.5","","4.9","","4.8",""
"131"," Timor-Leste","8.3","","4.7","","3.8","","3.7",""
"167"," Togo","11.8","","11.2","","10.7","","10.9",""
"105"," Tonga","3.9","","3.1","","2.9","","2.9",""
"63"," Trinidad and Tobago","6.4","","5.4","","4.4","","4.3",""
"91"," Tunisia","2.3","","2.3","","2.2","","2.2",""
"59"," Turkey","2.9","","3.8","","3.3","","3.2",""
"108"," Turkmenistan","4.0","","3.6","","3.8","","3.7",""
"159"," Uganda","23.9","","22.0","","19.2","","18.7",""
"88"," Ukraine","9.5","","6.4","","5.1","","4.7",""
"35"," United Arab Emirates","1.5","","0.9","","0.8","","0.8",""
"15"," United Kingdom","3.8","","3.2","","3.7","","3.5",""
"15"," United States","4.1","","5.2","","6.3","","6.4",""
